Admission_No,Name,Class,Branch,Phone_Number,CGPA
ADM25001,Rahul Sharma,2nd Year,CSE,9876543210,8.5
AMD25002,Priya Verma,1st yr,ECE,,7.9
ADM25003, Arjun Nair ,2nd Year,Computer Science,+919812345678,9.2
ADM25004,Sneha Iyer,3rd Year,IT,9865123478,7.1
adm25005,  Vikram Singh  ,First Year,MECH,9900112233,6.8
ADM25006,Ananya Reddy,2nd Year,EEE,9711223344,8.700000001
ADM25007,Karan Malhotra,3rd Year,cse,9822334455,NaN
ADM25008,Meera Pillai,1st Year,Civil,NA,7.4
ADM25009,Rohit Bansal,2nd Year,CSE,9876543210,5.2
ADM25010,Fatima Sheikh,2nd Year,E.C.E,9001234567,8.9
ADM25011,Aditya Rao,1st Year,IT,9345678912,15.4
ADM25012,Ishita Bose,3rd Year,EEE,9786756454,7.7
ADM25001,Rahul Sharma,2nd Year,CSE,9876543210,8.5
AMD25014,Nikhil Jain,2nd Year,MECH,,6.5
ADM25015,Divya Menon,1 Year,CSE,9955667788,9.4
ADM25016,Suresh Kumar,3rd Year,Civil,98450 45045,7.0
ADM25017,Lakshmi Narayan,2nd Year,ECE,9887766554,-2.3
ADM25018,Tanvi Deshpande,1st Year,I.T.,9611223344,8.2
ADM25019,Manish Gupta,2nd Year,cse,9701234567,6.9
ADM25020,Kavya Krishnan,3rd Year,CS,9822778899,9.6
ADM25021,Sameer Khan,1st Year,MECH,8801122334,5.8
ADM25022,Ritu Chauhan,2nd Year,EEE,9910012030,7.3
ADM25023,Gaurav Pandey,3rd Year,IT,9848484848,8.0
ADM25024,Pooja Shetty,2nd Year,ECE,9810098100,8.8
AMD25025,Aakash Verma,1st Year,MECH,9999911111,6.2
ADM25026,Shreya Dutta,2nd Year,Cse,9765432109,9.1
ADM25027,Vivek Anand,3rd Year,civil,9871239871,7.6
ADM25028,Neha Kapoor,2nd Year,IT,Null,7.8
ADM25029,Ravi Teja,1st Year,EEE,9494949494,6.7
ADM25030,Simran Kaur,2nd Year,CSE,9801980198,9.8
ADM25031,Deepak Joshi,3rd Year,MECHANICAL,9871209871,5.5
adm25032,Ayesha Siddiqui,1st Year,ECE,9990009990,8.4
ADM25033,Ritesh Agarwal,2nd Year,IT,9700001111,22.5
ADM25034,Madhuri Patil,3rd Year,CSE,9890989098,8.1
ADM25035,Harsh Vardhan,1st Year,Civil,9922110099,6.0
ADM25001,Rahul Sharma,2nd Year,CSE,9876543210,8.5
ADM25037,Zoya Ali,2nd Year,EEE,9881122334,9.3
ADM25038,Pranav Kulkarni,3rd Year,IT,9856856856,7.2
ADM25039,Varsha Nair,1st Year,CSE,9600220011,8.6
ADM25040,Siddharth Menon,2nd Year,MECH,9944009944,12.7
ADM25041,Chandni Roy,2nd Year,ECE,9711771177,7.5
AMD25042,Yash Thakur,3rd Year,cse,9888776655,6.3
ADM25043,Bhavana Reddy,1st Year,EEE,9009909009,9.0
ADM25044,Imran Qureshi,2nd Year,IT,9333331133,4.9
ADM25045,Nandini Sharma,3rd Year,Civil,9845598455,7.4
ADM25046,Omkar Desai,1st Year,MECH,9696969696,8.3
ADM25047,Tanya Mishra,2nd Year,CSE,9807654321,9.5
ADM25048,Abhinav Sinha,3rd Year,EEE,9994569994,6.6
ADM25049,Kritika Saini,2nd Year,IT,9761122334,8.9
ADM25050,Faisal Ansari,1st Year,ECE,9812098120,7.1
ADM25051,Preeti Rani,2nd Year,Civil,9966009966,9.7
ADM25052,Mayank Bhalla,3rd Year,cse,9955449944,4.2
AMD25053,Sonal Gandhi,1st Year,IT,9841269841,8.0
ADM25054,Jatin Sethi,2nd Year,MECH,9709970990,6.4
ADM25055,Reema Farooqui,3rd Year,EEE,9999999999,7.9
,,1st Year,CSE,0000000000,0
ADM25057,Rohan ,2nd yr,ECE,91-9876543210,Eight
ADM25058,  Sneha Iyer  ,3rd Year,IT,9865123478,7.1
ADM25059,Amit Kumar,4th Year,CSE,invalid_phone,6.5
adm25060,Priya Verma,1st Year,ECE,,7.9
ADM25061,Vikram Singh,1st Year,mech,9900112233,
AMD25062,Zara,2nd Year,CSE,abc1234567,9.9
ADM25063,Kabir,Third Year,EE,9988776655,8.888888
ADM25064,Rohit Bansal,2nd Year,CSE,9876543210,5.2
ADM25065,Aarav!,1st Year,IT,123,4.5
ADM25066,Nisha,2nd,Computer Sci,9998887776,8.1
ADM25067,Rahul Sharma,2nd Year,CSE,9876543210,8.5
ADM25068,Diya,1 Year,Civil,98765 43210,7.9 
AMD25069,Jay,,Mech,9999999999,6.0
ADM25070,Tara,3rd Year,,8888888888,9.2
ADM25071,   ,1st Year,ECE,9090909090,8.5
ADM25072,Kunal,2nd Year,CSE,9876543210,10.5
ADM25073,Riya,1st Year,IT,null,null
adm25074,Yash Thakur,3rd Year,cse,9888776655,6.3
ADM25075,Sam,2nd Year,EEE,987-654-3210,8.0
ADM25076,Aniket Das,1st Year,CSE,9876500000,8.2
AMD25077, Megha Sharma ,2nd yr,E.C.E.,+91 9811122233,11.0
ADM25078,Rahul Sharma,2nd Year,CSE,9876543210,8.5
adm25079,Pooja Hegde,3rd Year,IT,9776655443,6.9999999
ADM25080,Saurabh,First Year,MECH,N/A,-1.0
ADM25081,Anushka Roy,2nd Year,Computer Science,9800098000,7.5
ADM25082,Dev Patel,1st Year,Civil,9845045045,NaN
AMD25083,Siddharth Menon,2nd Year,MECH,9944009944,12.7
ADM25084,  ,1st Year,EEE,9112233445,8.1
ADM25085,Kavita Sen,3rd Year,IT,98765,5.0
ADM25086,Arun Kumar,2nd Year,cse,9812398123,Seven Point Five
ADM25087,Neha Verma,1 Year,E&CE,9900990099,8.8
adm25088,Vishal Garg,2nd Year,CSE,9876543210,8.5
ADM25089,Shruti Rao,3rd Year,CS,9822114477,9.3
AMD25090,Manish Gupta,2nd Year,cse,9701234567,6.9
ADM25091,Gautam Gambhir,1st yr,MECH,invalid_num,6.2
ADM25092,Swati Jain,2nd Year,EEE,,9.0
ADM25093,Rohan Mehta,3rd Year,civil,9871122334,7.4
ADM25094,Aditi Bose,1st Year,IT,9665544332,18.9
ADM25095,Karan Malhotra,3rd Year,cse,9822334455,NaN
,,2nd Year,ECE,9000000000,7.0
ADM25097,Aakash Verma,1st Year,MECH,9999911111,6.2
ADM25098,Nikhil,4th Year,CSE,9888877777,8.4
AMD25099,Tanvi,1st Year,I.T.,9611223344,8.2
ADM25100,Alok Nath,2nd Year,EEE,9810098100,Null
ADM25101,Zeenat Aman,3rd Year,CSE,9712345678,9.95
