Admission Number,Name,Class,Phone Number,CGPA,CGPA_Category,CIVIL,CSE,ECE,EEE,IT,MECH
ADM25001,Rahul Sharma,2nd Year,9876543210,8.5,Excellent,0,1,0,0,0,0
ADM25002,Priya Verma,1st Year,9076448062,7.9,Average,0,0,1,0,0,0
ADM25003,Arjun Nair,2nd Year,9812345678,9.2,Excellent,0,1,0,0,0,0
ADM25004,Sneha Iyer,3rd Year,9865123478,7.1,Average,0,0,0,0,1,0
ADM25005,Vikram Singh,1st Year,9900112233,6.8,Average,0,0,0,0,0,1
ADM25006,Ananya Reddy,2nd Year,9711223344,8.7,Excellent,0,0,0,1,0,0
ADM25007,Karan Malhotra,3rd Year,9822334455,8.0,Average,0,1,0,0,0,0
ADM25008,Meera Pillai,1st Year,9059777751,7.4,Average,1,0,0,0,0,0
ADM25009,Rohit Bansal,2nd Year,9876543210,5.2,Poor,0,1,0,0,0,0
ADM25010,Fatima Sheikh,2nd Year,9001234567,8.9,Excellent,0,0,1,0,0,0
ADM25011,Aditya Rao,1st Year,9345678912,10.0,Excellent,0,0,0,0,1,0
ADM25012,Ishita Bose,3rd Year,9786756454,7.7,Average,0,0,0,1,0,0
ADM25014,Nikhil Jain,2nd Year,9845319764,6.5,Average,0,0,0,0,0,1
ADM25015,Divya Menon,1st Year,9955667788,9.4,Excellent,0,1,0,0,0,0
ADM25016,Suresh Kumar,3rd Year,9845045045,7.0,Average,1,0,0,0,0,0
ADM25017,Lakshmi Narayan,2nd Year,9887766554,0.0,Poor,0,0,1,0,0,0
ADM25018,Tanvi Deshpande,1st Year,9611223344,8.2,Excellent,0,0,0,0,1,0
ADM25019,Manish Gupta,2nd Year,9701234567,6.9,Average,0,1,0,0,0,0
ADM25020,Kavya Krishnan,3rd Year,9822778899,9.6,Excellent,0,1,0,0,0,0
ADM25021,Sameer Khan,1st Year,8801122334,5.8,Poor,0,0,0,0,0,1
ADM25022,Ritu Chauhan,2nd Year,9910012030,7.3,Average,0,0,0,1,0,0
ADM25023,Gaurav Pandey,3rd Year,9848484848,8.0,Average,0,0,0,0,1,0
ADM25024,Pooja Shetty,2nd Year,9810098100,8.8,Excellent,0,0,1,0,0,0
ADM25025,Aakash Verma,1st Year,9999911111,6.2,Average,0,0,0,0,0,1
ADM25026,Shreya Dutta,2nd Year,9765432109,9.1,Excellent,0,1,0,0,0,0
ADM25027,Vivek Anand,3rd Year,9871239871,7.6,Average,1,0,0,0,0,0
ADM25028,Neha Kapoor,2nd Year,9854420580,7.8,Average,0,0,0,0,1,0
ADM25029,Ravi Teja,1st Year,9494949494,6.7,Average,0,0,0,1,0,0
ADM25030,Simran Kaur,2nd Year,9801980198,9.8,Excellent,0,1,0,0,0,0
ADM25031,Deepak Joshi,3rd Year,9871209871,5.5,Poor,0,0,0,0,0,1
ADM25032,Ayesha Siddiqui,1st Year,9990009990,8.4,Excellent,0,0,1,0,0,0
